"Url","Nom","Prix","Marque","ratingValue","ratingCount","Nombre de couverts","Format","Classe énergétique","Consommation d'eau","Consommation d'eau par cycle","Consommation d'énergie","Niveau sonore (Norme EN 60704-3)","Nombre de programmes","Qualité de séchage","Sécurités","Hauteur","Largeur (cm)","Profondeur (cm)","Finition","Origine de fabrication","Disponibilité des pièces détachées"
"https://www.darty.com/nav/achat/gros_electromenager/lave-vaisselle/lave-vaisselle/miele_g_4942_sc_front_inox.html","Miele G 4942 SC FRONT INOX",899,"Miele",5,1,14,"Standard","A++",2772,"Moins de 10 L",262,44,5,"A","Verrouillage sécurité enfants, Aquasécurité.","84,5","59,8",60,"Inox","République Tchèque",11
"https://www.darty.com/nav/achat/gros_electromenager/lave-vaisselle/lave-vaisselle/miele_g_4922_extra_clean.html","Miele G 4922 EXTRA CLEAN",699,"Miele","4.50",70,13,"Standard","A++",2772,"Moins de 10 L",262,44,5,"A","Verrouillage sécurité enfants, Aquasécurité",85,60,60,"Blanc","République Tchèque",11
"https://www.darty.com/nav/achat/gros_electromenager/lave-vaisselle/lave-vaisselle/siemens_sn258i00ie.html","Siemens SN258I00TE ZEOLITE",899,"Siemens","4.30",3,14,"Standard","A+++",2660,"Moins de 10 L",237,40,8,"A","Sécurité AQUASTOP 100% anti fuite.","84,5",60,60,"Silver","Allemagne",10
"https://www.darty.com/nav/achat/gros_electromenager/lave-vaisselle/lave-vaisselle/siemens_sk26e821eu.html","Siemens SK26E821EU INOX",369,"Siemens","4.60",9,6,"Compact","A+",2240,"Moins de 10 L",174,48,6,"A","Sécurité AquaStop",45,55,50,"Inox","Espagne",10
"https://www.darty.com/nav/achat/gros_electromenager/lave-vaisselle/lave-vaisselle/whirlpool_wfc3b_26x.html","Whirlpool WFC3B+26X",499,"Whirlpool",,0,14,"Standard","A++",3630,"10 L et plus",265,46,5,"A","Arrivée d'eau Overflow",85,60,60,"Inox","Pologne",7
"https://www.darty.com/nav/achat/gros_electromenager/lave-vaisselle/lave-vaisselle/bosch_sms68tw02e.html","Bosch SMS68TW02E",759,"Bosch","4.50",2,13,"Standard","A++",1820,"Moins de 10 L",262,42,8,"A","AquaStop 100% anti-fuite. ","84,5",60,60,"Blanc","Allemagne",10
"https://www.darty.com/nav/achat/gros_electromenager/lave-vaisselle/lave-vaisselle/siemens_sr26t897eu.html","Siemens SR26T897EU INOX",649,"Siemens","4.60",13,10,45,"A++",2660,"Moins de 10 L",211,44,6,"A","Sécurité AquaStop 100% anti fuite, avec garantie- sécurité enfants.","84,5",45,60,"Inox","Allemagne",10
"https://www.darty.com/nav/achat/gros_electromenager/lave-vaisselle/lave-vaisselle/brandt_dfh13526w.html","Brandt DFH13526W",349,"Brandt","3.60",14,13,"Standard","A++",2800,"10 L et plus",262,46,7,"A","Anti-débordement","84,5",60,"59,8","Blanc","Chine",10
"https://www.darty.com/nav/achat/gros_electromenager/lave-vaisselle/lave-vaisselle/bosch_sms25gw02.html","Bosch SMS25GW02E",429,"Bosch","4.20",27,12,"Standard","A+",2660,"Moins de 10 L",290,46,5,"A","Sécurité AquaStop 100% anti-fuite, avec garantie.","84,5",60,60,"Blanc","Turquie",10
"https://www.darty.com/nav/achat/gros_electromenager/lave-vaisselle/lave-vaisselle/whirlpool_wfo3t123pf.html","Whirlpool WFO3T123PF",599,"Whirlpool","4.10",28,14,"Standard","A++",2660,"Moins de 10 L",265,43,10,"A","Aquastop",85,60,60,"Blanc","Pologne",7
